ID,year,category,film,nominee,won
71,1930,Directing,The Divine Lady,Frank Lloyd,1
72,1930,Directing,Drag,Frank Lloyd,0
73,1930,Directing,In Old Arizona,Irving Cummings,0
74,1930,Directing,Madame X,Lionel Barrymore,0
75,1930,Directing,The Broadway Melody,Harry Beaumont,0
76,1930,Directing,The Patriot,Ernst Lubitsch,0
77,1930,Directing,Weary River,Frank Lloyd,0
78,1930,Writing,The Patriot,Hans Kraly,1
79,1930,Writing,A Woman of Affairs,Bess Meredyth,0
80,1930,Writing,In Old Arizona,Tom Barry,0
81,1930,Writing,Our Dancing Daughters,Josephine Lovett,0
82,1930,Writing,Sal of Singapore,Elliott Clawson,0
83,1930,Writing,Skyscraper,Elliott Clawson,0
84,1930,Writing,The Cop,Elliott Clawson,0
85,1930,Writing,The Last of Mrs. Cheyney,Hans Kraly,0
86,1930,Writing,The Leatherneck,Elliott Clawson,0
87,1930,Writing,The Valiant,Tom Barry,0
88,1930,Writing,Wonder of Women,Bess Meredyth,0
89,1931,Actor in a Leading Role,Disraeli,George Arliss,1
90,1931,Actor in a Leading Role,Bulldog Drummond,Ronald Colman,0
91,1931,Actor in a Leading Role,Condemned,Ronald Colman,0
92,1931,Actor in a Leading Role,The Big House,Wallace Beery,0
93,1931,Actor in a Leading Role,The Big Pond,Maurice Chevalier,0
94,1931,Actor in a Leading Role,The Green Goddess,George Arliss,0
95,1931,Actor in a Leading Role,The Love Parade,Maurice Chevalier,0
96,1931,Actor in a Leading Role,The Rogue Song,Lawrence Tibbett,0
97,1931,Actress in a Leading Role,The Divorcee,Norma Shearer,1
98,1931,Actress in a Leading Role,Anna Christie,Greta Garbo,0
99,1931,Actress in a Leading Role,Romance,Greta Garbo,0
100,1931,Actress in a Leading Role,Sarah and Son,Ruth Chatterton,0
101,1931,Actress in a Leading Role,The Devil's Holiday,Nancy Carroll,0
102,1931,Actress in a Leading Role,The Trespasser,Gloria Swanson,0
103,1931,Actress in a Leading Role,Their Own Desire,Norma Shearer,0
104,1931,Art Direction,King of Jazz,Herman Rosse,1
105,1931,Art Direction,Bulldog Drummond,(William Cameron Menzies),0
106,1931,Art Direction,Sally,(Jack Okey),0
107,1931,Art Direction,The Love Parade,(Hans Dreier),0
108,1931,Art Direction,The Vagabond King,(Hans Dreier),0
109,1931,Best Picture,All Quiet on the Western Front,Universal,1
110,1931,Best Picture,Disraeli,Warner Bros.,0
111,1931,Best Picture,The Big House,Cosmopolitan,0
112,1931,Best Picture,The Divorcee,Metro-Goldwyn-Mayer,0
113,1931,Best Picture,The Love Parade,Paramount Famous Lasky,0
114,1931,Cinematography,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer",1
115,1931,Cinematography,All Quiet on the Western Front,(Arthur Edeson),0
